league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;saves;goalKicks;lostCorners;gameStarted;minsPlayed;totalPass;cleanSheet;formationPlace;totalThrows;totalTackle;wonTackle;totalScoringAtt;shotOffTarget;totalClearance;fouls;wasFouled;wonCorners;yellowCard;blockedScoringAtt;totalSubOff;ontargetScoringAtt;totalOffside;cornerTaken;goalAssist;goals;totalSubOn;goalsConceded
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;amjegysk3et638l4od103c7o5;Sergio Herrera Pirón;Sergio Herrera;Sergio Herrera;1;Goalkeeper;Centre;1;21;6;10;2;1;90;33;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;8ij122duxc65thlj8flk2xdjp;Juan Cruz Álvaro Armada;Juan Cruz Álvaro Armada;Juan Cruz;3;Defender;Left;3;41;0;0;1;1;90;48;1;3;4;1;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;bi8nrmyaxsgbhixw921fzvm5l;Alejandro Catena Marugán;Alejandro Catena;Alejandro Catena;24;Defender;Left/Centre;6;29;0;0;1;1;90;34;1;6;0;0;0;1;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;5tiol5jc7h11oic9vvyu83fqi;Flavien Enzo Thiedort Boyomo;Enzo Boyomo;E. Boyomo;22;Defender;Centre/Right;5;31;0;0;1;1;90;34;1;5;0;0;0;1;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;7r7wgbcu7vmlj19m9jpjhu1yi;Jesús Areso Blanco;Jesús Areso;Jesús Areso;12;Defender;Right;2;24;0;0;0;1;90;27;1;2;11;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;d3pdr28q2n295ldry2lc1uklx;Lucas Torró Marset;Lucas Torró;Lucas Torró;6;Defensive Midfielder;Left/Centre;4;20;0;0;0;1;90;27;1;4;0;4;1;3;2;3;1;0;0;0;1;0;0;0;0;0;0;0;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;eqw6fu3no9qxejk17tqgeey5m;Pablo Ibáñez Lumbreras;Pablo Ibáñez;Pablo Ibáñez;8;Defensive Midfielder;Centre/Right;8;19;0;0;0;1;60;23;0;8;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;bzv32rpgvs111w8e2gch452xg;Bryan Zaragoza Martínez;Bryan Zaragoza;Bryan Zaragoza;19;Attacking Midfielder;Left;11;14;0;0;0;1;73;18;0;11;1;0;0;1;0;0;0;2;1;0;0;1;1;1;2;0;0;0;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;bpf2fcb73l96fwspo72shmkiy;Aimar Oroz Huarte;Aimar Oroz;Aimar Oroz;10;Attacking Midfielder;Centre;10;39;0;0;0;1;90;46;1;10;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;9xbo6c8uq29ueuyinngjjiaj9;Rubén García Santos;Rubén García;Rubén García;14;Attacking Midfielder;Right;7;14;0;0;0;1;60;19;0;7;0;2;0;1;1;2;1;0;0;0;0;1;0;0;2;0;0;0;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;946z96r5q70ryslp3hlhafnx1;Ante Budimir;Ante Budimir;A. Budimir;17;Striker;Centre;9;4;0;0;0;1;78;7;0;9;0;0;0;4;0;1;2;2;3;0;3;1;1;0;0;0;1;0;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;2zcha0sd7axiu2s2c0bccz2s5;Enrique Barja Alfonso;Kike Barja;Kike Barja;11;Substitute;Attacker;0;4;0;0;0;0;18;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;bvs3rixmobb9gje6kfvhgb52i;Abel Bretones Cruz;Abel Bretones;Abel Bretones;23;Substitute;Defender;0;1;0;0;0;0;12;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;cy3c0cj6yy1mokaj0mlk4k9re;Raúl García de Haro;Raúl García;Raúl García;9;Substitute;Attacker;0;1;0;0;0;0;12;1;0;0;0;1;1;2;0;1;0;0;1;0;1;0;1;0;0;0;1;1;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;f4gpe0pxov8sea9e0fs24h8q2;Jon Moncayola Tollar;Jon Moncayola;Jon Moncayola;7;Substitute;Midfielder;0;11;0;0;1;0;17;14;0;0;0;2;1;0;0;1;0;0;2;0;0;0;0;0;4;0;0;1;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;1wezo3pjdktc0iqaxze3uh2sq;Iker Muñoz Cameros;Iker Muñoz;Iker Muñoz;18;Substitute;Midfielder;0;9;0;0;0;0;30;11;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;1;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;5f8kjgsaabn2li5r7bvpebbsa;Joan García Pons;Joan García;Joan García;1;Goalkeeper;Centre;1;18;2;7;1;1;90;21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;5djkwcoflvxcv5oida6txfyp6;Carlos Romero Serrano;Carlos Romero;Carlos Romero;22;Defender;Left;3;31;0;0;1;1;90;40;0;3;11;0;0;3;2;2;0;3;0;0;0;0;1;0;1;0;0;0;2
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;2rqxh5mex336ci45jaw428y5l;Fernando Calero Villa;Fernando Calero;Fernando Calero;5;Defender;Left/Centre;6;60;0;0;2;1;90;67;0;6;0;2;2;0;0;8;0;2;0;0;0;0;0;0;0;0;0;0;2
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;cddggachzf198p1yhq9owtofd;Marash Kumbulla;Marash Kumbulla;M. Kumbulla;4;Defender;Centre/Right;5;55;0;0;1;1;90;64;0;5;0;0;0;1;0;5;3;0;0;1;1;0;0;0;0;0;0;0;2
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;7h0b81yjiiu356rycsakgd0yc;Omar El Hilali Khayat;Omar El Hilali;O. El Hilali;23;Defender;Right;2;27;0;0;1;1;83;29;0;2;4;2;2;0;0;1;2;0;0;0;0;1;0;1;0;0;0;0;1
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;74wjzeja92l4q8fpy1bkmcsfd;Pol Lozano Vizuete;Pol Lozano;Pol Lozano;10;Defensive Midfielder;Left/Centre;4;32;0;0;0;1;55;33;0;4;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;7y8ns61qioqu7kfsqzkvkwhuy;Urko González de Zárate Quirós;Urko González de Zárate Quirós;Urko González de Zárate;19;Defensive Midfielder;Centre/Right;8;30;0;0;0;1;83;35;0;8;0;1;1;2;0;2;0;0;1;0;1;1;1;0;0;0;0;0;1
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;e5qp6dh1prc55llew51zpy1gp;Javier Puado Díaz;Javi Puado;Javi Puado;7;Attacking Midfielder;Left;11;13;0;0;0;1;75;17;0;11;0;1;0;3;2;0;0;0;0;0;0;1;1;1;0;0;0;0;1
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;8qvqdjw1d58mw7420lpmk7bah;Eduardo Expósito Jaén;Edu Expósito;Edu Expósito;8;Attacking Midfielder;Centre;10;40;0;0;0;1;90;49;0;10;0;2;1;4;1;1;0;1;0;0;1;0;2;0;2;0;0;0;2
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;1am59svvwz5idpdjq307dd5hw;Antoniu Roca Vives;Antoniu Roca;Antoniu Roca;31;Attacking Midfielder;Right;7;5;0;0;1;1;45;6;0;7;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;5fqvl0m1rkzhj9tmafrcxur6c;Roberto Fernández Jaén;Roberto Fernández;Roberto Fernández;2;Striker;Centre;9;17;0;0;0;1;90;23;0;9;0;0;0;1;0;3;0;0;1;0;0;0;1;0;0;0;0;0;2
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;59u1gn30f6bg5lr06zsglykq2;Jofre Carreras Pagès;Jofre Carreras;Jofre Carreras;17;Substitute;Attacker;0;1;0;0;0;0;15;2;0;0;0;0;0;1;0;1;0;0;2;0;1;0;0;0;0;0;0;1;1
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;9taxidttdt94nmvc3mqhqq0ut;Alex Král;Alex Král;A. Král;20;Substitute;Midfielder;0;5;0;0;0;0;7;6;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;1ore4ght7ls393tcpbmah9dcl;Pere Milla Peña;Pere Milla;Pere Milla;11;Substitute;Midfielder;0;9;0;0;0;0;45;12;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;6peka1v0xt2ctv0qtoaw9cslx;Álvaro Tejero Sacristán;Álvaro Tejero;Álvaro Tejero;12;Substitute;Defender;0;5;0;0;0;0;7;5;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;1;1
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;1o4lfwkyx28j63ara4ye4wjdg;Alejo Véliz;Alejo Veliz;A. Véliz;9;Substitute;Attacker;0;2;0;0;1;0;35;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1
