league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;cleanSheet;saves;accuratePass;minsPlayed;totalPass;goalKicks;gameStarted;totalClearance;formationPlace;totalThrows;wonCorners;wonTackle;totalTackle;wasFouled;lostCorners;fouls;totalScoringAtt;ontargetScoringAtt;shotOffTarget;totalSubOff;cornerTaken;blockedScoringAtt;yellowCard;totalOffside;totalSubOn
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;9h6xf4ac4rpsjpummcdx26z9;Augusto Martín Batalla Barga;Augusto Batalla;A. Batalla;13;Goalkeeper;Centre;1;1;2;19;90;30;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;amt4voyjzhnvr55t08hzlw50q;Josep María Chavarría Pérez;Pep Chavarría;Pep Chavarría;3;Defender;Left;3;1;0;44;90;58;0;1;1;3;13;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;94jrxsnf1ta2u65ommyge7bo5;Aridane Hernández Umpiérrez;Aridane Hernández;Aridane Hernández;5;Defender;Left/Centre;6;1;0;57;90;62;4;1;3;6;0;0;1;1;2;1;1;0;0;0;0;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;533095rnz0k8mxqe6gzn0mfo5;Florian Grégoire Claude Lejeune;Florian Lejeune;F. Lejeune;24;Defender;Centre/Right;5;1;0;55;90;66;0;1;7;5;0;1;0;0;0;0;1;3;1;2;0;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;bpfp895223p7w0px2ui3nb2l1;Iván Balliu Campeny;Iván Balliu;I. Balliu;20;Defender;Right;2;0;0;23;59;32;0;1;0;2;5;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;u04ao1ldrjjesgqq52o7ghqt;Unai López Cabrera;Unai López;Unai López;17;Defensive Midfielder;Left/Centre;4;0;0;29;50;30;0;1;0;4;0;1;1;3;1;0;1;2;1;0;1;1;1;1;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;1ho7koiegfhsuevuum2meibu2;Pathé Ismaël Ciss;Pathé Ciss;P. Ciss;6;Defensive Midfielder;Centre/Right;8;1;0;28;90;35;0;1;1;8;0;0;1;3;1;0;2;1;0;0;0;0;1;1;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;8eh38t4oyyt728co362f6uqqd;Álvaro García Rivera;Álvaro García;Álvaro García;18;Attacking Midfielder;Left;11;1;0;23;90;29;0;1;0;11;1;2;0;0;0;0;1;6;3;3;0;0;0;0;1;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;3ca7tqrdasmeop6ud9zot0wdl;Isaac Palazón Camacho;Isi Palazón;Isi Palazón;7;Attacking Midfielder;Centre;10;0;0;28;89;36;0;1;0;10;1;1;0;0;2;1;0;6;1;1;1;9;4;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;38dhmhce7deuqgqmc3p7nhai2;Andrei Florin Rațiu;Andrei Ratiu;A. Rațiu;2;Attacking Midfielder;Right;7;1;0;36;90;43;0;1;2;7;3;2;1;1;2;0;1;2;0;1;0;0;1;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;c157xhi78x9cykn7xz816bjd;Jorge de Frutos Sebastián;Jorge de Frutos;Jorge de Frutos;19;Striker;Centre;9;0;0;12;89;14;0;1;0;9;0;2;0;0;2;0;2;3;1;2;1;0;0;0;2;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;7vb4xrwk7sbgpxzgiwwbt4s89;Pedro Díaz Fanjul;Pedro Díaz;Pedro Díaz;4;Substitute;Midfielder;0;0;0;16;40;19;0;0;0;0;0;1;2;2;0;0;0;2;0;0;0;1;2;0;0;1
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;63yktdky9m0aus8ebkaqzdhhx;Adrián Embarba Blázquez;Adri Embarba;Adri Embarba;21;Substitute;Attacker;0;0;0;2;1;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;f0a2qk3jzxercn67bben5eled;Gerard Gumbau Garriga;Gerard Gumbau;Gerard Gumbau;15;Substitute;Midfielder;0;0;0;17;31;21;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;676ehh6cwla4o9igey7qr1uqd;Óscar Guido Trejo;Óscar Trejo;Ó. Trejo;8;Substitute;Midfielder;0;0;0;8;1;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;4sz26vstr6b7b110eri7f42jt;Dominik Greif;Dominik Greif;D. Greif;1;Goalkeeper;Centre;1;1;8;15;90;29;9;1;4;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;f1e3gi3dx3er2vz7loriw6e39;Antonio Latorre Grueso;Antonio Latorre Grueso;Toni Lato;3;Defender;Left;3;0;0;26;79;32;0;1;2;3;5;0;1;1;1;2;0;0;0;0;1;0;0;0;1;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;9dewnn65ylruq567thg7ebqhh;Antonio José Raíllo Arenas;Antonio Raíllo;Antonio Raíllo;21;Defender;Left/Centre;6;1;0;52;90;54;4;1;6;6;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;3v254jhofauiadp9vzb7rb21g;David López Guijarro;David López;David López;32;Defender;Centre/Right;5;1;0;12;90;18;0;1;7;5;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;5tsp2m5z3xie07ax0wq1qqsix;Mateu Jaume Morey Bauzà;Mateu Morey;Mateu Morey;2;Defender;Right;2;1;0;25;90;36;0;1;8;2;10;0;2;2;0;2;1;0;0;0;0;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;7xmaybxu4zd5k338bi3drkxcl;Sergi Darder Moll;Sergi Darder;Sergi Darder;10;Midfielder;Left;11;1;0;33;90;48;0;1;1;11;0;0;2;2;0;0;0;1;0;1;0;2;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;bkvvapojagxvj17nzk3oy8ct1;Omar Mascarell González;Omar Mascarell;Omar Mascarell;5;Midfielder;Left/Centre;8;0;0;26;64;34;0;1;2;8;0;0;0;1;0;0;5;0;0;0;1;0;0;1;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;1km9nvqz03yoj9cxpv127id7u;Samuel de Almeida Costa;Samuel de Almeida Costa;Samú Costa;12;Midfielder;Centre/Right;4;1;0;49;90;58;0;1;1;4;0;0;2;4;3;0;2;1;0;1;0;0;0;1;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;2td3iejdken4orcduqrdutrhm;Antonio Sánchez Navarro;Antonio Sánchez;Antonio Sánchez;18;Midfielder;Right;7;0;0;10;72;13;0;1;2;7;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;5e8sf5791x5g5m9vmct6s3itw;Marc Hidalgo Domenech González;Marc Domenech;Marc Domenech;30;Striker;Left/Centre;9;0;0;6;72;8;0;1;0;9;0;0;1;1;1;0;1;1;1;0;1;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;3pwr7lqvo4o08c4nvzqpuue39;Vedat Muriqi;Vedat Muriqi;V. Muriqi;7;Striker;Centre/Right;10;0;0;8;64;14;0;1;1;10;0;1;0;0;3;0;0;3;0;2;1;0;1;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;3rrges782prcprsn207dk4zit;Cyle Christopher Larin;Cyle Larin;C. Larin;17;Substitute;Attacker;0;0;0;3;26;5;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;1;1
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;dfjph36vcwfj5cevut4x3vf11;Johan Andrés Mojica Palacio;Johan Mojica;J. Mojica;22;Substitute;Defender;0;0;0;5;11;6;0;0;1;0;5;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;12qc3dkodeb8ykg6pc0kqf2l1;Manuel Morlanes Ariño;Manu Morlanes;Manu Morlanes;8;Substitute;Midfielder;0;0;0;11;26;14;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;9e7b5cm66oxf26fmp33yuppsl;Daniel José Rodríguez Vázquez;Dani Rodríguez;Dani Rodríguez;14;Substitute;Midfielder;0;0;0;2;18;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;9wwzjoc2bl80vct0meb6v5yqc;Miquel Jan Salas Franch;Jan Salas;Miquel Salas;28;Substitute;Midfielder;0;0;0;7;18;9;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1
