league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;blockedScoringAtt;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;shotOffTarget;totalClearance;totalPass;totalScoringAtt;formationPlace;fouls;totalTackle;totalThrows;wasFouled;wonTackle;totalSubOff;yellowCard;cornerTaken;ontargetScoringAtt;wonCorners;totalOffside;totalSubOn;cleanSheet;goalAssist;goals
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;7udphhcokm6vralyz5gkovxsl;Mathew David Ryan;Mathew Ryan;M. Ryan;13;Goalkeeper;Centre;1;24;1;1;10;1;1;90;4;1;2;30;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;bqb9wziyiw0rngildx44uhxbd;Diego Varela Pampín;Diego Pampín;Diego Pampín;6;Defender;Left;3;48;1;1;0;1;0;90;0;1;1;57;2;3;3;1;8;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;4v3mcgy4w1n4g3vkq0fe7iwwk;Matías Agustín Moreno;Matías Moreno;M. Moreno;2;Defender;Left/Centre;6;38;0;1;0;1;0;65;0;0;4;43;0;6;1;2;2;4;2;1;0;0;0;0;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;49230s4p4daocrftccqqbeqjt;Adrián de la Fuente Barquilla;Adrián de la Fuente;Adrián de la Fuente;4;Defender;Centre/Right;5;84;0;1;0;1;1;90;0;1;6;95;1;5;1;1;3;2;1;0;0;0;0;0;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;5oge5fhmna0oduqvjisoa1djp;Jeremy Isaiah Richard Toljan;Jeremy Toljan;J. Toljan;22;Defender;Right;2;57;0;1;0;1;0;90;0;0;0;67;0;2;1;3;8;0;1;0;1;0;0;0;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;38igxi5sn8v00xtciwhqb44fe;Iker Losada Aragunde;Iker Losada;Iker Losada;18;Midfielder;Left/Centre;8;13;0;1;0;1;0;74;0;0;0;16;0;8;1;2;0;1;2;1;1;0;0;0;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;dlxi9jrz36ge900qdsd9c0mlm;Ugo Raghouber;Ugo Raghouber;U. Raghouber;14;Midfielder;Centre;4;30;0;1;0;1;0;65;0;0;3;32;0;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;6lnttemmflhxp700fr069ty0a;Jon Ander Olasagasti Imizcoz;Jon Olasagasti;Jon Olasagasti;8;Midfielder;Centre/Right;7;18;1;1;0;1;0;90;0;1;1;30;3;7;1;3;0;2;2;0;0;2;1;0;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;6w641bd5laym8cnxg6mecsmqc;Francisco Cortés Gracia;Paco Cortés;Paco Cortés;27;Striker;Left/Centre;11;24;0;1;0;1;0;89;0;0;1;29;1;11;0;0;0;2;0;1;0;0;1;1;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;cbh5v5yi380uvbt5z2xbxemfo;Carlos Espí Escrihuela;Carlos Espí;Carlos Espí;19;Striker;Centre;9;10;0;1;0;1;0;90;0;1;3;13;3;9;3;2;0;3;0;0;1;0;2;0;2;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;a5a9d3z93jct2dtg6ajpi26ay;Víctor García Raja;Víctor García;Víctor García;17;Striker;Centre/Right;10;24;1;1;0;1;0;65;0;0;1;28;1;10;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;bl3o0pt262qax5cwv4jeu82s4;Karl Edouard Blaise Etta Eyong;Karl Etta Eyong;K. Etta Eyong;21;Substitute;Attacker;0;1;1;0;0;0;0;25;0;0;1;3;1;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;2y25g5wgiygxbp97r22o1a1as;Alan Agustín Matturro Romero;Alan Matturro;A. Matturro;3;Substitute;Defender;0;11;0;0;0;0;0;25;0;0;3;14;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;20s72mrpp0gl3hd333zaows2c;Kareem Tunde Ruiz;Kareem Tunde;Kareem Tunde;26;Substitute;Attacker;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;7x2c4pr7hvku5zp0dnjcpy0yy;Unai Vencedor Paris;Unai Vencedor;Unai Vencedor;12;Substitute;Midfielder;0;15;0;0;0;0;0;25;0;0;0;20;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;6gtfe9aysdrcht4v2rluu0ley;Carlos Álvarez Rivera;Carlos Álvarez;Carlos Álvarez;24;Substitute;Midfielder;0;7;0;0;0;0;0;16;0;1;0;7;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;6ddxujeb3873j5evwiz8n4wt0;Luíz Lúcio Reis Júnior;Luiz Lúcio Reis Júnior;Luíz Júnior;1;Goalkeeper;Centre;1;11;0;1;4;0;1;90;4;0;3;25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;4x854vpovag131b2kdutv4qju;Sergi Cardona Bermúdez;Sergi Cardona;Sergi Cardona;23;Defender;Left;3;28;0;1;0;0;0;90;0;1;3;31;1;3;1;5;3;1;2;0;0;0;0;0;0;0;1;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;d27r61wcc9az0shpevisc4iga;Rafael Marín Zamora;Rafa Marín;Rafa Marín;4;Defender;Left/Centre;6;30;0;1;2;0;1;79;0;0;7;31;0;6;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;9rtfwu0z7qtk1kglenp2vm13o;Pau Navarro Badenes;Pau Navarro;Pau Navarro;6;Defender;Centre/Right;5;38;0;1;2;0;0;90;0;0;12;43;0;5;0;5;0;1;2;0;0;0;0;0;0;0;1;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;albt55j4oir1veynmos532psk;Álvaro Santiago Mouriño González;Santiago Mouriño;S. Mouriño;15;Defender;Right;2;26;2;1;0;0;0;90;0;0;7;34;2;2;5;5;7;1;4;0;0;0;0;0;0;0;1;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;1qkneebzln8byl9td2aswznmy;Alberto Moleiro González;Alberto Moleiro;Alberto Moleiro;20;Midfielder;Left;11;17;0;1;0;0;0;88;0;2;1;23;2;11;3;2;0;0;1;1;0;0;0;0;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;ekm47qd8w1x0456lm1tmf5re1;Pape Alassane Gueye;Pape Gueye;P. Gueye;18;Midfielder;Left/Centre;8;29;0;1;0;0;0;79;0;2;2;36;2;8;3;0;0;2;0;1;1;0;0;0;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;b5rea5r4h8bclpenau2au142x;Santiago Comesaña Veiga;Santi Comesaña;Santi Comesaña;14;Midfielder;Centre/Right;4;34;0;1;0;0;0;90;0;0;7;40;0;4;1;3;0;0;1;0;1;0;0;0;0;0;1;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;3n9jnuteyjx6w6dxviuead0b9;Nicolas Pépé;Nicolas Pépé;N. Pépé;19;Midfielder;Right;7;24;0;1;0;0;0;90;0;2;2;35;3;7;1;0;1;0;0;0;1;1;1;0;1;0;1;1;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;8bvn7mn5tjfj3l2bnpvm75gmi;Georges Mikautadze;Georges Mikautadze;G. Mikautadze;9;Striker;Left/Centre;9;17;0;1;0;0;0;89;0;0;0;22;2;9;0;0;0;4;0;1;0;1;2;1;0;0;0;0;1
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;drwacyyicuhy3heg4j0ipqj85;Ayoze Pérez Gutiérrez;Ayoze Pérez;Ayoze Pérez;22;Striker;Centre/Right;10;7;0;1;0;0;0;71;0;0;0;9;1;10;4;1;0;3;0;1;1;0;1;0;0;0;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;6g7i7z6m8vts105dny1g6z3hm;Alexander Michael Freeman;Alexander Freeman;A. Freeman;3;Substitute;Defender;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;2mhvgtcem9qn2yzobtkqiegpg;Tanitoluwa Oluwatimikhin Oluwaseyi;Tani Oluwaseyi;T. Oluwaseyi;21;Substitute;Attacker;0;1;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;bfdtduknquzhr2br7ahlgvvo4;Renato Palma Veiga;Renato Palma Veiga;Renato Veiga;12;Substitute;Midfielder;0;4;0;0;0;0;0;11;0;0;2;4;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;eh70fwampgdyfv3hu25o2qx;Alfonso Pedraza Sag;Alfonso Pedraza;Alfonso Pedraza;24;Substitute;Defender;0;4;0;0;0;0;0;19;0;0;1;5;2;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;dydwiixiims98cx2iihfuf8wl;Thomas Teye Partey;Thomas Partey;T. Partey;16;Substitute;Midfielder;0;5;0;0;0;0;1;11;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
